0.029	1.504	0.466
0.034	0.299	0.312
0.041	3.352	1.469
0.06	3.035	0.483
0.032	0.146	0.081
0.032	1.26	0.201
0.032	2.485	0.295
0.034	0.405	0.658
0.031	0.264	0.125
0.105	0.761	0.294
0.04	5.118	0.446
0.036	2.14	0.252
0.03	0.432	0.487
0.038	0.239	1.349
0.057	1.352	1.106
0.035	1.071	0.258
0.028	52.451	0.356
0.03	2.094	1.003
0.037	0.876	2.064
0.025	30.84	0.107
0.033	6.887	0.491
0.031	0.168	0.961
0.033	0.407	0.412
0.03	0.696	0.323
0.029	0.367	0.508
0.036	1.924	0.449
0.043	0.722	0.206
0.032	0.046	0.159
0.035	1.936	2.038
0.041	17.453	0.64
0.032	1.683	1.463
0.035	0.516	0.58
0.029	0.268	0.163
0.034	0.308	0.357
0.028	0.481	0.203
0.038	0.301	0.192
0.031	0.48	0.458
0.031	1.021	2.793
0.037	557.356	1.168
0.036	52.047	0.199
0.061	9.177	0.593
0.036	1.147	0.48
0.038	0.483	0.389
0.032	2.725	0.623
0.031	0.222	0.156
0.111	1.035	0.49
0.032	0.327	0.816
0.03	0.424	0.142
0.036	1.974	0.187
0.033	5.983	0.445
0.033	1.714	0.774
0.041	0.564	1.469
0.035	0.43	0.275
0.033	0.324	0.579
0.026	0.254	0.504
0.033	1.736	0.306
0.028	0.191	0.771
0.04	645.839	1.313
0.036	9.875	0.389
0.037	1.634	0.687
0.035	4.998	2.625
0.033	0.46	0.768
0.042	1.062	0.584
0.037	5.448	0.999
0.034	0.915	1.48
0.034	0.785	0.257
0.041	1.067	1.863
0.032	4.687	0.285
0.03	2.067	2.168
0.037	4.392	0.132
0.037	0.431	0.342
0.032	0.66	1.29
0.044	4.246	0.566
0.04	5.912	0.58
0.03	0.78	1.375
0.032	2.113	0.518
0.034	2.089	0.3
0.029	0.712	0.295
0.028	0.289	1.868
0.033	1.435	0.206
0.028	0.375	0.283
0.031	0.275	0.224
0.036	0.494	1.475
0.031	0.272	0.26
0.038	3.807	0.158
0.032	0.312	0.305
0.032	2.425	1.104
0.034	0.898	0.342
0.032	0.343	0.458
0.028	1.884	0.272
0.042	5.411	0.168
0.036	0.656	0.165
0.037	0.659	1.198
0.04	0.52	0.764
0.026	1.566	0.13
0.047	1.97	0.483
0.033	1.804	0.31
0.037	2.096	0.372
0.026	0.254	0.134
0.037	0.486	0.366
0.03619	15.123040000000003	0.6443499999999999
0.011990480230650321	84.81778101317191	0.5752236697164158
